cap-shape,cap-surface,cap-color,gill-attachment,gill-spacing,gill-color,stem-width,stem-color,ring-type,habitat
6,2,6,2,0,10,0.4922930023627516,11,2,0
6,2,6,2,0,10,0.6018998112405046,11,2,0
6,2,6,2,0,10,0.5570606621541508,11,2,0
2,3,1,2,0,10,0.3816897679497466,11,5,0
6,3,6,2,0,10,0.5032536832505269,11,5,0
6,2,6,2,0,10,0.6616853433556423,11,5,0
2,3,6,2,0,10,0.4723644916577057,11,2,0
6,3,1,2,0,10,0.5271678960965822,11,5,0
2,2,6,2,0,10,0.6517210880031196,11,5,0
2,2,1,2,0,10,0.4713680661224533,11,5,0
2,3,1,2,0,10,0.5849605771412154,11,5,0
6,3,6,2,0,10,0.4972751300390132,11,5,0
6,3,6,2,0,10,0.6098712155225229,11,2,0
6,3,6,2,0,10,0.593928406958486,11,5,0
6,3,1,2,0,10,0.620831896410298,11,2,0
2,3,1,2,0,10,0.570014194112431,11,5,0
6,2,1,2,0,10,0.5500856834073852,11,5,0
6,3,6,2,0,10,0.6367747049743349,11,5,0
6,2,6,2,0,10,0.6726460242434176,11,5,0
6,3,1,2,0,10,0.564035640900917,11,5,0
2,2,1,2,0,10,0.5022572577152747,11,2,0
6,2,1,2,0,10,0.5211893428850682,11,2,0
6,3,6,2,0,10,0.5749963217886926,11,2,0
6,2,1,2,0,10,0.5311535982375913,11,5,0
2,2,6,2,0,10,0.4823287470102285,11,5,0
6,2,6,2,0,10,0.4733609171929578,11,5,0
2,3,1,2,0,10,0.5600499387599079,11,2,0
2,2,6,2,0,10,0.5819713005354583,11,5,0
6,3,1,2,0,10,0.5351393003786005,11,5,0
2,2,6,2,0,10,0.4484502788116503,11,2,0
6,2,6,2,0,10,0.5949248324937385,11,2,0
2,2,6,2,0,10,0.4594109596994259,11,5,0
2,3,6,2,0,10,0.4942858534332562,11,2,0
2,3,6,2,0,10,0.460407385234678,11,5,0
2,3,1,2,0,10,0.5062429598562839,11,5,0
2,2,1,2,0,10,0.4962787045037607,11,5,0
6,2,1,2,0,10,0.5630392153656649,11,2,0
6,2,1,2,0,10,0.5052465343210314,11,2,0
2,2,6,2,0,10,0.537132151449105,11,5,0
6,2,1,2,0,10,0.5899427048174769,11,2,0
2,2,1,2,0,10,0.5002644066447702,11,5,0
2,3,1,2,0,10,0.4903001512922471,11,5,0
